City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,talara,-4.5772,-81.2719,75.96,69,0,18.95,PE,1696374086
84,long beach,33.767,-118.1892,88.83,68,0,12.66,US,1696373831
85,puerto ayora,-0.7393,-90.3518,84.16,93,70,1.99,EC,1696374086
86,kolonia,50.9333,6.95,57.88,79,0,6.91,DE,1696374006
87,tazovsky,67.4667,78.7,32.29,86,14,13.82,RU,1696374087
88,tiksi,71.6872,128.8694,26.26,96,100,5.64,RU,1696374087
89,ribeira grande,38.5167,-28.7,71.78,91,91,13.0,PT,1696374087
90,camocim,-2.9022,-40.8411,78.96,75,43,18.25,BR,1696374087
91,zouerate,22.7187,-12.4521,92.26,15,23,9.84,MR,1696373919
92,kingston,17.997,-76.7936,88.75,81,75,9.22,JM,1696374026
93,tomatlan,19.9333,-105.25,86.05,76,100,5.26,MX,1696374088
94,pisco,-13.7,-76.2167,68.05,77,0,19.57,PE,1696374059
95,forio,40.7342,13.8646,71.53,72,90,9.35,IT,1696373797
96,qaqortoq,60.7167,-46.0333,36.55,92,99,1.59,GL,1696374088
97,sochaczew,52.2294,20.2384,60.26,88,100,19.57,PL,1696374088
98,codrington,-38.2667,141.9667,53.49,69,61,4.21,AU,1696374088
99,afaahiti,-17.75,-149.2833,82.27,84,16,18.79,PF,1696374089
100,kone,-21.0595,164.8658,76.06,64,79,9.98,NC,1696373798
101,necochea,-38.5473,-58.7368,49.32,91,100,7.18,AR,1696374089
102,inyati,-19.6756,28.8469,57.45,47,10,7.27,ZW,1696374089
103,dudinka,69.4058,86.1778,33.62,86,33,18.99,RU,1696374089
104,delta del tigre,-34.7633,-56.3853,59.41,88,75,11.5,UY,1696374090
105,dali,25.7,100.1833,61.56,95,63,4.41,CN,1696374090
106,labrador city,52.9463,-66.9114,42.71,61,40,5.75,CA,1696374008
107,tanout,14.9709,8.8879,87.62,31,96,8.79,NE,1696374090
108,igarka,67.4667,86.5833,30.07,90,8,13.85,RU,1696373824
109,isafjordur,66.0755,-23.124,40.71,85,100,25.41,IS,1696374033
110,st. john's,47.5649,-52.7093,58.96,81,100,10.36,CA,1696374091
111,mitu,1.1983,-70.1733,84.45,52,97,2.44,CO,1696374091
112,paita,-5.0892,-81.1144,69.19,78,71,17.87,PE,1696374091
113,desaguadero,-16.5656,-69.0417,57.6,47,50,9.51,PE,1696374092
114,atafu village,-8.5421,-172.5159,84.54,75,65,17.43,TK,1696374092
115,motueka,-41.1333,173.0167,60.1,43,13,2.48,NZ,1696374092
116,cortez,37.3489,-108.5859,63.03,43,83,10.02,US,1696374092
117,constantia,44.1833,28.65,52.7,67,3,8.08,RO,1696373801
118,taoudenni,22.6783,-3.9836,90.72,17,1,15.39,ML,1696374093
119,palmer,42.1584,-72.3287,75.81,76,0,1.95,US,1696373797
120,lahaina,20.8783,-156.6825,85.24,71,6,5.77,US,1696374064
121,lebu,-37.6167,-73.65,49.44,73,7,9.8,CL,1696374093
122,flying fish cove,-10.4217,105.6791,74.88,83,100,10.36,CX,1696374093
123,namdrik,5.5994,168.1028,84.34,71,42,7.14,MH,1696374094
124,touros,-5.1989,-35.4608,78.44,70,38,15.14,BR,1696374094
125,zyryanskoye,56.8306,86.6258,45.75,78,100,7.7,RU,1696374094
126,arraial do cabo,-22.9661,-42.0278,73.26,78,75,4.61,BR,1696373925
127,sandnessjoen,66.0217,12.6316,43.32,84,99,6.89,NO,1696374094
128,carnarvon,-24.8667,113.6333,64.49,39,0,18.9,AU,1696374094
129,villa gesell,-37.2639,-56.973,53.06,86,100,9.8,AR,1696374095
130,puerto armuelles,8.2833,-82.8667,81.09,74,99,5.01,PA,1696374095
131,walvis bay,-22.9575,14.5053,58.15,82,15,13.8,NA,1696374095
132,cockburn town,21.4612,-71.1419,84.15,78,97,15.03,TC,1696374095
133,west island,-12.1568,96.8225,75.18,73,100,17.27,CC,1696374096
134,mount pearl,47.5166,-52.7813,58.14,81,100,10.36,CA,1696374096
135,port shepstone,-30.7414,30.455,68.47,81,2,14.27,ZA,1696374096
136,sungai penuh,-2.0833,101.3833,63.3,96,100,1.41,ID,1696374096
137,fale old settlement,-9.3852,-171.2468,83.71,77,33,18.84,TK,1696374096
138,thompson,55.7435,-97.8558,48.36,93,100,3.44,CA,1696374097
139,pacocha,-17.5833,-71.3333,64.35,89,39,8.21,PE,1696374097
140,chibougamau,49.9168,-74.3659,55.02,94,40,2.3,CA,1696373827
141,chonchi,-42.6128,-73.8092,52.81,89,81,0.78,CL,1696374097
142,fallon,39.4735,-118.7774,67.91,48,75,8.05,US,1696374097
143,xuchang,34.0167,113.8167,66.29,81,99,2.04,CN,1696374098
144,port augusta,-32.5,137.7667,55.44,61,57,20.69,AU,1696374098
145,blackmans bay,-43.0167,147.3167,52.74,68,100,5.32,AU,1696374098
146,hato mayor del rey,18.7628,-69.2568,78.33,91,76,6.15,DO,1696374098
147,luderitz,-26.6481,15.1594,67.95,51,10,9.55,NA,1696374098
148,georgetown,5.4112,100.3354,79.02,94,20,3.44,MY,1696374091
149,nemuro,43.3236,145.575,57.45,71,100,2.46,JP,1696374099
150,alupka,44.4167,34.05,57.04,52,1,1.77,UA,1696374099
151,ust-nera,64.5667,143.2,29.21,74,100,3.0,RU,1696374099
152,colonia,50.9333,6.95,57.88,79,0,6.91,DE,1696374099
153,santa ines,-3.6667,-45.38,87.26,50,100,9.44,BR,1696374026
154,hawaiian paradise park,19.5933,-154.9731,83.88,76,2,4.0,US,1696374026
155,saipan,15.1355,145.701,84.27,76,24,18.88,MP,1696374100
156,santiago del estero,-27.7951,-64.2615,79.59,34,0,18.86,AR,1696374100
157,alesund,62.4723,6.1549,54.75,86,40,16.11,NO,1696374100
158,klyuchi,52.2667,79.1667,41.41,54,0,5.79,RU,1696374100
159,port alfred,-33.5906,26.891,62.19,92,44,9.06,ZA,1696374101
160,alofi,-19.0595,-169.9187,75.09,86,100,21.85,NU,1696374101
161,tadine,-21.55,167.8833,72.64,69,47,22.62,NC,1696374101
162,gilmer,32.7287,-94.9424,89.42,30,40,10.36,US,1696374101
163,praia da vitoria,38.7333,-27.0667,71.85,94,75,10.02,PT,1696374101
164,vilhena,-12.7406,-60.1458,71.82,100,75,4.61,BR,1696374101
165,al jawf,29.5,38.75,74.66,43,92,6.04,SA,1696374102
166,warrnambool,-38.3833,142.4833,53.67,65,48,7.4,AU,1696374102
167,kristiansund,63.1115,7.732,50.05,87,100,9.22,NO,1696374102
168,broome,42.2506,-75.833,72.55,87,0,2.71,US,1696374102
169,tralee,52.2704,-9.7026,53.26,91,89,8.28,IE,1696374102
170,biryusinsk,55.9634,97.8235,34.92,92,5,5.3,RU,1696374103
171,geraldton,-28.7667,114.6,46.81,87,0,8.05,AU,1696374103
172,karagandy,49.8019,73.1021,31.95,62,4,5.03,KZ,1696374103
173,okhotsk,59.3833,143.3,44.13,59,99,2.53,RU,1696374103
174,petropavlovsk-kamchatsky,53.0452,158.6483,46.45,88,75,15.01,RU,1696374103
175,jamestown,42.097,-79.2353,76.64,64,0,8.05,US,1696373957
176,baruun-urt,46.6806,113.2792,34.75,66,13,8.28,MN,1696374104
177,san fernando de monte cristi,19.8667,-71.65,82.74,80,100,11.74,DO,1696374104
178,fortaleza,-3.7227,-38.5247,81.21,74,40,9.22,BR,1696373934
179,magadan,59.5667,150.8,43.83,53,71,8.01,RU,1696374104
180,saint-felix-de-valois,46.1668,-73.4324,77.32,71,2,3.0,CA,1696374104
